,city,lat,lon,temp,humidity,wind,clouds
48,Mbanza-Ngungu,-5.25,14.87,70.0,98,4.18,76
49,Grahamstown,-33.31,26.53,70.09,96,3.51,92
50,Puerto Ayora,-0.74,-90.35,73.2,100,9.55,36
51,Namatanai,-3.66,152.44,85.08,98,8.88,36
52,Myitkyina,25.38,97.4,71.31,75,1.72,92
53,Songjianghe,42.18,127.48,21.63,80,9.89,76
54,Tautira,-17.73,-149.15,82.4,78,13.87,40
55,Kahului,20.89,-156.47,70.09,64,17.22,1
56,Cape Town,-33.93,18.42,69.8,60,9.17,0
57,Clyde River,70.47,-68.59,-2.21,84,13.87,1
58,Ipoti,7.87,5.08,63.97,78,4.97,0
59,Hermanus,-34.42,19.24,62.98,80,4.29,24
60,Ikwiriri,-7.96,38.99,81.3,86,3.51,56
61,Lompoc,34.64,-120.46,48.52,96,5.82,1
62,Salinopolis,-0.61,-47.36,77.16,100,10.56,88
63,Sabla,12.75,4.71,62.26,46,9.44,0
64,Marsh Harbour,26.54,-77.06,78.46,100,22.3,44
65,Port Blair,11.67,92.75,84.0,98,20.74,8
66,Arraial do Cabo,-22.97,-42.02,76.71,94,15.37,56
67,Tiksi,71.64,128.87,-10.82,71,10.78,20
68,Hilo,19.71,-155.08,69.98,78,16.49,75
69,Coracao de Jesus,-16.69,-44.37,65.68,70,6.31,8
70,Castro,-42.48,-73.76,44.6,87,2.24,20
71,Kushiro,43.11,144.15,30.2,50,3.36,20
72,Muros,42.77,-9.06,52.75,100,16.11,90
73,Ohara,35.12,135.83,47.28,42,10.29,75
74,Hay River,60.82,-115.79,1.4,70,12.75,90
75,Busselton,-33.64,115.35,73.06,80,26.89,80
76,Tasiilaq,65.61,-37.64,33.8,74,3.36,92
77,Faanui,-16.48,-151.75,81.34,100,16.26,64
78,Balagansk,54.01,103.05,13.71,82,3.51,80
79,Saint George,39.45,22.34,43.63,93,2.51,75
80,Merritt,50.11,-120.79,36.66,80,8.66,64
81,Chuy,-33.69,-53.46,62.31,94,7.76,8
82,Muscat,23.6,58.55,78.8,47,9.17,20
83,Beloha,-25.17,45.06,87.33,58,11.79,0
84,Broken Hill,-31.97,141.45,71.6,37,11.41,75
85,Tuktoyaktuk,69.44,-133.03,-13.01,69,10.29,40
86,Bandarbeyla,9.49,50.81,78.64,100,21.97,92
87,Klaksvik,62.23,-6.59,42.8,87,25.28,88
88,Nelson Bay,-32.72,152.14,78.8,78,17.22,80
89,Salalah,17.01,54.1,80.6,39,6.93,0
90,High Prairie,55.43,-116.48,38.23,52,7.87,76
91,Tafresh,34.69,50.01,32.0,60,4.7,0
92,Birao,10.3,22.78,59.74,40,6.76,0
93,Kaabong,3.51,34.14,72.79,60,3.62,0
94,Vaini,15.34,74.49,75.2,60,13.87,40
95,Lesozavodsk,45.47,133.42,16.99,66,10.56,36
96,Hasaki,35.73,140.83,46.4,39,14.99,20
97,Tuatapere,-46.13,167.69,60.82,81,11.45,0
98,Caravelas,-17.73,-39.27,79.45,100,10.89,12
99,Dali,25.6,100.24,63.03,48,4.41,36
100,Kununurra,-15.77,128.74,100.4,39,9.17,0
101,Sorland,67.67,12.69,44.26,100,20.51,92
102,Vestmannaeyjar,63.44,-20.27,43.41,100,31.92,92
103,Brownsville,25.91,-97.49,54.32,34,11.41,1
104,Vanimo,-2.67,141.3,84.45,100,13.47,24
105,Ous,60.91,61.52,20.14,79,6.2,64
106,Umm Kaddadah,13.6,26.69,56.55,40,12.01,0
107,Cidreira,-30.17,-50.22,72.43,95,8.21,44
108,Mataura,-46.19,168.86,66.18,58,13.02,0
109,Kavaratti,10.57,72.64,82.78,100,5.97,36
110,Port Keats,-14.25,129.55,89.76,80,14.92,0
111,Chokurdakh,70.62,147.9,-38.86,0,3.29,24
112,Berlevag,70.86,29.09,36.52,100,17.83,32
113,Nago,45.88,10.89,23.0,85,1.12,0
114,Oistins,13.07,-59.53,78.8,69,21.92,75
115,Kachiry,53.07,76.1,8.35,89,4.41,8
116,Sao Joao da Barra,-21.64,-41.05,79.54,97,23.98,8
117,Geraldton,49.72,-86.95,28.4,79,6.93,75
118,Port Elizabeth,39.31,-74.98,48.99,96,4.7,90
119,Tigil,57.8,158.67,15.51,79,12.91,56
120,Banjar,-7.37,108.54,81.48,79,3.74,68
121,Cockburn Town,21.46,-71.14,79.68,100,26.11,12
122,Ambilobe,-13.19,49.05,80.89,93,7.76,12
123,Mananjary,-19.16,46.8,70.09,93,7.43,0
124,Padang,-0.92,100.36,86.0,62,4.7,20
125,Takapau,-40.02,176.35,61.99,94,4.74,100
126,Nemuro,43.32,145.57,28.4,50,3.36,20
127,Eureka,40.8,-124.16,44.28,100,6.93,90
128,Sisimiut,66.94,-53.67,7.0,100,4.74,44
129,Hithadhoo,-0.6,73.08,81.79,100,14.36,88
130,Yellowknife,62.45,-114.38,-14.81,75,5.82,75
131,Cheremkhovo,53.15,103.07,12.67,80,3.74,76
132,Huarmey,-10.07,-78.15,55.87,86,3.18,8
133,Georgetown,6.8,-58.16,69.8,100,4.7,20
134,Lufilufi,-13.87,-171.6,84.2,74,5.82,40
135,Aswan,24.09,32.9,53.6,50,6.93,0
136,Avera,33.19,-82.53,55.22,98,4.7,90
137,Torbay,47.66,-52.73,30.2,80,9.17,90
138,Vytegra,61.01,36.45,13.66,82,5.64,64
139,Lesnoye,51.57,42.77,26.4,94,10.22,92
140,Ubinskoye,55.31,79.68,13.93,86,15.7,76
141,Ancud,-41.87,-73.83,44.6,87,2.24,20
142,Nikolskoye,59.7,30.79,24.8,85,4.47,90
143,Presidencia Roque Saenz Pena,-26.79,-60.44,74.1,96,8.43,64
144,Katsuura,33.93,134.5,47.25,61,12.75,75
145,Myanaung,18.28,95.32,86.25,69,5.3,0
146,Upernavik,72.79,-56.15,6.37,100,21.52,8
147,Kiama,-34.67,150.86,68.56,99,4.18,88
148,Yurty,56.05,97.64,19.38,70,10.22,76
149,Venezuela,21.74,-78.8,74.5,96,2.39,12
150,Fort Nelson,58.81,-122.69,6.8,84,11.41,90
151,Longyearbyen,78.22,15.63,35.6,93,26.4,75
152,Lebu,8.96,38.73,53.6,50,3.36,0
153,Carnarvon,-30.97,22.13,67.57,31,9.22,0
154,Puerto Princesa,9.74,118.73,91.4,66,20.8,75
155,Namibe,-15.19,12.15,70.41,100,8.43,12
156,Bathsheba,13.22,-59.52,78.8,69,21.92,75
157,Celica,-4.1,-79.96,62.98,100,2.17,92
158,Tashara,55.52,83.51,15.6,91,13.8,92
159,Lasa,34.92,32.53,59.63,82,4.7,20
160,Thompson,55.74,-97.86,24.8,85,3.36,75
161,Puerto Madryn,-42.77,-65.04,61.09,64,18.28,0
162,Alihe,50.57,123.73,3.85,59,3.4,0
163,Bethel,60.79,-161.76,-5.95,86,4.7,1
164,Walvis Bay,-22.95,14.51,60.8,87,9.17,75
165,San Cristobal,-0.39,-78.55,57.2,100,3.36,90
166,Majene,-3.54,118.97,84.22,96,21.63,32
167,Vila,45.18,8.4,28.2,92,4.7,0
168,Pajapan,18.26,-94.69,68.88,70,10.33,88
169,Vila Velha,-3.71,-38.6,78.8,83,16.11,75
170,Olavarria,-36.89,-60.32,49.03,82,2.84,0
171,Makakilo City,21.35,-158.09,73.54,68,5.82,1
172,Urengoy,65.96,78.37,-0.83,79,6.53,56
173,Nuuk,64.17,-51.74,32.0,100,10.29,88
174,Koidu,8.64,-10.97,65.32,73,2.17,32
175,Ambon,47.55,-2.56,40.62,100,14.99,90
176,Uige,-7.61,15.06,67.35,94,1.83,56
177,Jiuquan,39.73,98.49,23.65,73,2.73,0
178,Juneau,58.3,-134.42,24.42,96,3.96,1
179,Tarko-Sale,64.92,77.78,-6.05,58,3.18,0
180,Praia da Vitoria,38.73,-27.07,50.0,93,21.74,40
181,Vyartsilya,62.18,30.69,9.07,79,4.41,48
182,Tazovskiy,67.47,78.7,2.23,68,6.64,44
183,Norman Wells,65.28,-126.83,-5.81,83,3.36,40
184,Aklavik,68.22,-135.01,-7.61,76,8.05,5
185,Muisne,0.61,-80.02,70.5,95,2.73,64
186,Semey,50.41,80.25,14.0,85,4.47,0
187,Hearst,49.69,-83.67,30.4,84,6.98,36
188,Yar-Sale,66.83,70.83,7.41,100,9.44,80
189,Merauke,-8.49,140.4,83.05,92,15.03,68
190,Amnat Charoen,15.86,104.63,87.55,47,18.5,20
191,New Norfolk,-42.78,147.06,64.4,88,8.05,75
192,Nouadhibou,20.93,-17.03,60.01,92,7.43,0
193,Mnogovershinnyy,53.94,139.92,-1.51,68,3.62,0
194,Diphu,25.84,93.44,73.4,56,5.82,40
195,Portsmouth,50.8,-1.08,36.23,80,11.41,92
196,Fortuna,38.18,-1.13,49.98,50,18.34,0
197,Kokopo,-4.34,152.27,84.36,100,6.2,56
198,Mahebourg,-20.41,57.7,84.2,62,12.75,40
199,Port Hardy,50.7,-127.42,35.6,93,9.17,20
200,Renqiu,38.71,116.1,37.24,51,4.18,44
201,Khatanga,71.98,102.47,-5.87,84,13.24,56
202,Palauig,15.44,119.9,86.16,69,12.01,48
203,Rio Gallegos,-51.62,-69.22,55.4,50,10.29,0
204,Kolosovka,56.47,73.61,11.41,90,11.9,64
205,Wanning,48.64,13.53,26.6,92,4.7,75
206,San Isidro,16.74,121.63,75.18,97,11.01,92
207,Port Macquarie,-31.43,152.91,77.0,88,23.04,90
208,Filingue,14.35,3.32,61.63,60,10.22,0
209,Vila Franca do Campo,37.72,-25.43,59.0,67,8.05,20
210,Itarantim,-15.65,-40.06,68.88,99,2.95,92
211,Ponta do Sol,-20.63,-46.0,63.66,94,1.05,68
212,Waterloo,43.47,-80.52,33.8,100,6.93,90
213,Hokitika,-42.72,170.96,65.73,90,7.43,0
214,Aneho,6.23,1.6,78.8,88,4.7,20
215,Auki,12.18,6.51,59.16,49,6.76,0
216,Oktyabrskoye,56.73,85.44,19.4,79,17.9,75
217,Poum,41.28,20.71,32.02,99,1.95,100
218,Le Port,42.87,1.37,17.13,82,1.28,48
219,Ulladulla,-35.36,150.48,68.29,100,9.78,92
220,Awjilah,29.14,21.3,52.36,39,13.69,0
221,Latung,-8.45,120.42,80.8,88,5.64,56
222,Beringovskiy,63.05,179.32,-7.04,100,13.47,8
223,Cumpas,30.0,-109.78,40.71,59,1.95,64
224,Pevek,69.7,170.27,-31.21,100,3.51,0
225,Aranos,-24.14,19.11,83.46,21,4.29,92
226,Te Anau,-45.41,167.72,70.54,52,3.74,24
227,Saint-Francois,46.42,3.91,30.2,80,3.36,90
228,Birin,35.01,36.67,33.91,88,3.18,8
229,Piranshahr,36.7,45.14,29.05,57,1.28,0
230,Chumikan,54.72,135.31,6.55,71,15.14,0
231,Orangeburg,33.49,-80.86,60.04,93,5.82,90
232,Hailin,44.57,129.38,22.39,65,9.78,56
233,Zaranj,30.95,61.86,53.6,30,4.7,0
234,Ibipeba,-11.64,-42.01,65.95,71,7.54,8
235,Alenquer,-1.95,-54.74,77.0,94,6.93,75
236,Hirtshals,57.59,9.96,34.68,100,12.24,36
237,Thai Binh,20.45,106.33,68.0,68,3.36,75
238,La Rioja,-29.41,-66.86,75.31,61,8.77,80
239,Codrington,-28.95,153.24,83.55,65,20.8,80
240,Havoysund,71.0,24.66,41.0,97,20.8,75
241,Ekhabi,53.51,142.97,5.43,93,12.24,0
242,Khasan,42.43,130.64,29.28,100,2.17,0
243,Narsaq,60.91,-46.05,4.26,73,4.52,0
244,Dikson,73.51,80.55,3.13,84,11.12,8
245,Marzuq,14.4,46.47,65.41,44,3.4,0
246,Hammerfest,70.66,23.68,41.0,100,20.8,75
247,Port Moresby,-9.47,147.16,95.0,50,17.22,40
248,Batagay,67.65,134.64,-32.65,55,3.62,64
249,Esperance,10.24,-61.45,73.4,88,3.36,20
250,Nanortalik,60.14,-45.24,28.83,91,12.35,0
251,Mezen,65.85,44.24,29.86,95,5.64,76
252,Sitka,37.17,-99.65,22.21,68,2.62,0
253,Atikokan,48.76,-91.62,18.16,83,4.52,0
254,College,64.86,-147.8,-16.48,70,2.39,75
255,Guatire,10.47,-66.54,78.8,78,1.72,20
256,Bismarck,46.81,-100.78,32.5,68,5.82,1
257,Los Llanos de Aridane,28.66,-17.92,64.4,77,9.17,0
258,Sinnamary,5.38,-52.96,78.51,97,11.45,88
259,Thunder Bay,48.41,-89.26,24.8,85,4.7,20
260,Luderitz,-26.65,15.16,59.25,74,18.5,0
261,Pervomayskiy,53.24,40.29,24.19,92,11.68,80
262,Arman,59.7,150.17,-3.71,73,3.18,64
263,Aleksandrovskoye,56.74,85.39,19.4,79,17.9,75
264,San Quintin,17.54,120.52,85.3,52,11.79,0
265,Touros,-5.2,-35.46,77.0,78,4.7,20
266,Arys,42.43,68.8,51.8,43,2.24,0
267,Tura,25.52,90.21,73.42,63,5.64,0
268,Kem,2.68,33.77,68.2,92,3.96,12
269,Kaitangata,-46.28,169.85,66.31,64,10.67,0
270,Marsaxlokk,35.84,14.54,51.8,81,3.36,20
271,Pangai,-19.8,-174.35,77.0,88,13.87,75
272,Pangnirtung,66.15,-65.72,-6.91,59,5.97,0
273,Parnarama,-5.68,-43.09,71.4,98,2.39,88
274,Launceston,-41.43,147.14,75.2,57,14.99,92
275,Wendo,6.6,38.42,64.69,47,1.83,0
276,Miri,10.31,9.75,53.44,64,3.29,0
277,Hofn,64.25,-15.21,43.86,94,20.85,68
278,Tecoanapa,16.99,-99.26,75.2,88,2.24,40
279,Isangel,-19.55,169.27,78.82,100,13.47,24
280,Malaia,45.35,24.04,30.2,92,5.82,90
281,Opuwo,-18.06,13.84,81.21,20,7.2,20
282,Mozarlandia,-14.74,-50.57,70.05,84,2.95,0
283,Margate,-43.03,147.26,68.0,77,10.29,75
284,Agirish,61.92,63.02,23.74,82,6.76,68
285,Puerto Leguizamo,-0.19,-74.78,72.3,96,1.5,36
286,Zunyi,27.73,106.92,39.18,82,4.18,92
287,Slobodskoy,58.73,50.18,3.13,75,3.29,32
288,Carazinho,-28.3,-52.79,71.08,85,3.18,12
289,Yulara,-25.24,130.99,95.0,7,9.17,0
290,Grand-Santi,4.27,-54.38,72.61,87,3.06,24
291,Jalna,19.84,75.88,73.4,46,9.17,20
292,Atherton,53.52,-2.49,34.32,64,10.29,75
293,Akhmeta,42.03,45.21,37.4,64,12.75,0
294,Lagoa,37.14,-8.45,48.2,87,6.93,0
295,Millinocket,45.66,-68.71,31.1,81,8.05,90
296,Tambilil,5.96,124.67,95.0,39,13.87,20
297,Zhigalovo,54.81,105.15,15.51,59,7.43,68
298,Bonavista,48.65,-53.11,28.56,100,21.07,44
299,Burnie,-41.05,145.91,63.34,92,24.54,92
300,Tikhvin,59.64,33.53,15.82,91,2.73,68
301,Leh,34.16,77.58,-15.86,84,0.94,20
302,Jieshi,22.82,115.83,71.08,86,14.47,8
303,Kamenskiy,50.89,45.49,25.86,95,7.43,92
304,Pacific Grove,36.62,-121.92,49.73,82,4.7,1
305,Saint-Pierre,48.95,4.24,32.0,83,9.17,90
306,Sennan,34.36,135.28,47.5,45,4.7,75
307,Alto Longa,-5.25,-42.21,69.82,96,4.07,88
308,Sept-Iles,50.2,-66.38,21.2,92,3.36,90
309,Batticaloa,7.71,81.69,75.49,100,14.47,92
310,Salisbury,51.07,-1.8,36.91,91,19.46,92
311,Karlshamn,56.17,14.86,33.8,92,10.29,0
312,Amapa,15.09,-87.97,73.4,88,1.72,20
313,Dobele,56.63,23.28,28.4,100,2.24,90
314,Kutahya,39.42,29.98,35.6,93,1.12,75
315,Mount Isa,-20.73,139.49,98.6,11,14.99,0
316,Carutapera,-1.2,-46.02,76.53,97,5.97,92
317,Paris,48.86,2.35,27.5,74,6.93,0
318,Camacha,33.08,-16.33,57.2,82,7.31,20
319,Luanda,-8.83,13.24,77.0,78,4.7,75
320,Frontera,18.53,-92.64,73.87,66,17.27,100
321,Veraval,49.65,0.71,29.01,86,9.17,0
322,Graben-Neudorf,49.16,8.49,32.0,85,5.82,90
323,Charlotte,35.23,-80.84,43.29,100,5.82,90
324,Taltal,-25.41,-70.49,53.85,99,2.17,12
325,Inuvik,68.36,-133.71,-7.61,76,8.05,5
326,Coaticook,45.13,-71.8,35.4,98,6.93,90
327,Kuching,1.56,110.34,84.2,79,2.24,75
328,Daru,7.99,-10.85,68.61,95,2.73,48
329,Bambous Virieux,-20.34,57.76,84.2,62,12.75,40
330,Riyadh,24.63,46.72,59.0,87,6.93,75
331,Udachnyy,66.42,112.4,-3.58,72,2.62,56
332,Bijar,35.87,47.6,29.55,70,2.95,0
333,Chapleau,47.85,-83.4,29.91,78,6.76,8
334,Hutchinson,38.06,-97.93,29.17,77,5.82,1
335,Najran,17.54,44.22,64.4,48,4.18,0
336,Ust-Omchug,61.13,149.63,-30.71,46,2.62,56
337,Mayumba,-3.44,10.65,77.43,100,1.95,68
338,Rzhyshchiv,49.97,31.05,28.4,100,8.95,90
339,Ahipara,-35.17,173.16,65.05,94,2.73,36
340,Masallatah,32.62,14.0,48.4,66,18.28,0
341,Omboue,-1.57,9.26,79.9,100,5.64,76
342,Champerico,16.38,-93.6,68.0,68,19.46,40
343,Comodoro Rivadavia,-45.87,-67.48,57.2,41,14.99,0
344,Ribeira Grande,38.52,-28.7,59.83,100,18.84,8
345,Santa Clara,22.41,-79.97,67.32,88,2.24,5
346,Tadine,-21.55,167.88,76.98,96,18.61,68
347,Pativilca,-10.7,-77.78,66.63,100,7.99,56
348,Uyuni,-20.46,-66.82,45.88,88,1.16,92
349,Lorengau,-2.02,147.27,85.71,98,8.32,48
350,Bud,62.91,6.91,27.97,79,11.41,0
351,Ust-Maya,60.42,134.54,-18.11,77,2.73,48
352,Vardo,39.62,-77.74,40.98,85,6.93,90
353,Kayerkan,69.35,87.76,-1.73,81,6.64,68
354,Ostrovnoy,68.05,39.51,19.69,93,10.89,0
355,Biltine,14.53,20.93,62.26,30,8.55,0
356,Hueytown,33.45,-87.0,51.96,92,5.82,90
357,Ihosy,-22.4,46.13,76.03,68,5.08,0
358,Chandauli,25.26,83.27,68.0,49,2.24,0
359,San Vicente de Canete,-13.08,-76.38,61.95,89,1.72,76
360,Nizhnevartovsk,60.93,76.58,19.4,85,6.71,90
361,Kerema,-7.96,145.78,79.36,92,2.84,88
362,Mayo,63.59,-135.9,-14.81,75,2.24,75
363,Shenzhen,22.54,114.05,68.52,53,6.71,0
364,Ginir,7.14,40.71,70.63,27,4.07,0
365,Rio Grande,-32.03,-52.1,72.79,93,7.87,88
366,Erenhot,43.65,111.97,22.26,36,15.48,0
367,Fare,-16.7,-151.02,82.15,100,16.15,24
368,Ewa Beach,21.32,-158.01,73.54,68,5.82,1
369,Haapiti,-17.57,-149.87,82.4,78,13.87,40
370,Lavrentiya,65.58,-170.99,9.16,100,19.17,68
371,Inverell,-29.78,151.11,76.03,67,10.56,0
372,Aktau,43.65,51.16,32.0,100,8.95,75
373,Adrar,27.87,-0.29,50.0,37,9.17,0
374,Dourbali,11.81,15.86,60.01,46,6.76,0
375,Orlik,52.51,99.83,7.23,61,7.31,64
376,Pisco,-13.71,-76.2,68.0,82,6.93,40
377,Morant Bay,17.88,-76.41,78.8,74,12.75,20
378,Mumford,5.26,-0.76,75.63,90,2.51,8
379,Vakhrushev,48.99,142.86,12.9,88,6.98,8
380,Dzhebariki-Khaya,62.22,135.8,-21.89,63,2.73,64
381,Waingapu,-9.65,120.26,81.03,90,8.66,80
382,Guanica,17.97,-66.91,75.9,100,13.69,56
383,Sao Felix do Xingu,-6.64,-51.99,70.63,100,2.06,92
384,Ornskoldsvik,63.29,18.72,-2.21,84,4.7,12
385,Jawa,12.81,11.04,56.95,53,4.52,0
386,Iqaluit,63.75,-68.52,14.0,85,5.82,90
387,Kashiwazaki,37.37,138.57,38.01,100,6.53,92
388,Beipiao,41.8,120.76,37.83,29,12.01,64
389,Nynashamn,58.9,17.95,26.65,100,4.7,88
390,Winnemucca,40.97,-117.74,28.94,66,3.36,75
391,Sao Filipe,14.9,-24.5,75.63,95,12.8,0
392,Berdigestyakh,62.1,126.7,-8.12,62,2.73,64
393,Khuzdar,27.8,66.62,44.89,82,2.51,24
394,Golovchino,50.53,35.8,24.8,92,4.47,90
395,Dombarovskiy,50.76,59.54,19.33,94,4.41,88
396,Hirara,24.8,125.28,74.32,60,12.75,40
397,Plattling,48.78,12.88,23.2,93,4.18,48
398,Leningradskiy,69.38,178.42,-17.57,100,1.95,0
399,Shar,7.3,8.73,66.31,84,2.84,8
400,Faya,18.39,42.45,60.8,67,3.4,0
401,Rawson,-43.3,-65.11,57.81,36,14.58,0
402,Korcula,42.96,17.14,37.96,100,3.62,92
403,Niteroi,-29.95,-51.16,75.2,78,5.82,0
404,Kopervik,59.28,5.31,37.4,59,19.46,0
405,Kabompo,-13.6,24.21,74.68,71,5.41,36
406,Raudeberg,61.99,5.14,36.48,51,20.8,0
407,Labuhan,-2.54,115.51,85.21,71,3.18,80
408,Conceicao do Araguaia,-8.26,-49.26,70.99,95,2.95,64
409,Chernyshevskiy,63.01,112.47,5.25,73,7.76,64
410,Ulaanbaatar,47.92,106.92,8.6,50,4.47,0
411,Puerto Quijarro,-19.0,-57.72,81.66,69,2.62,64
412,Himatangi,-40.4,175.32,67.26,88,4.63,36
413,Mandurah,-32.55,115.7,86.0,35,12.75,80
414,Miles City,46.41,-105.84,30.02,81,5.82,1
415,Norsup,-16.07,167.38,81.88,88,7.76,76
416,Orai,25.99,79.45,67.75,52,5.41,0
417,Half Moon Bay,37.46,-122.43,55.89,87,5.82,90
418,Xining,36.62,101.77,29.55,41,5.41,8
419,Srednekolymsk,67.46,153.71,-46.19,0,2.51,0
420,Sungaipenuh,-2.08,101.38,73.06,84,1.95,64
421,Suluq,31.67,20.25,48.9,42,9.66,88
422,Tessalit,20.2,1.01,46.11,45,2.84,12
423,Santa Rosalia,38.07,13.27,57.2,82,16.11,40
424,Kirakira,-10.46,161.92,85.12,100,7.65,0
425,Richards Bay,-28.77,32.06,78.01,76,14.25,36
426,Sao Lourenco do Sul,-31.37,-51.98,71.35,100,5.3,92
427,Tagusao,9.19,117.81,80.98,96,7.99,68
428,Husavik,50.56,-96.99,22.26,82,12.57,0
429,Ponta Delgada,37.73,-25.67,59.0,67,8.05,20
430,Beisfjord,68.38,17.6,37.4,69,13.87,75
431,Namerikawa,36.77,137.34,39.0,41,5.82,40
432,Inhambane,-23.87,35.38,78.8,83,10.33,20
433,Haines Junction,60.75,-137.51,-14.87,58,2.17,0
434,Penzance,50.12,-5.53,50.0,100,21.92,92
435,Vozhega,60.47,40.21,13.71,87,6.76,56
436,Kieta,-6.22,155.63,82.51,100,4.52,20
437,Balaipungut,1.11,101.31,85.39,85,3.18,24
438,Guerrero Negro,27.97,-114.04,56.95,65,2.51,80
439,Boguchany,58.38,97.46,15.55,67,10.78,80
440,Aksu,52.04,76.93,6.8,92,2.95,40
441,Inongo,-1.93,18.29,74.23,97,3.18,76
442,Warrnambool,-38.38,142.48,64.15,100,7.31,92
443,Mehamn,71.03,27.85,37.65,93,18.5,92
444,Vestmanna,62.16,-7.17,42.8,87,25.28,80
445,Hambantota,6.12,81.12,84.2,79,3.36,40
446,Aklera,24.41,76.57,67.35,57,7.09,0
447,Ishigaki,24.34,124.16,73.4,64,17.22,40
448,Gallup,35.53,-108.74,23.7,64,2.73,1
449,Dekar,-21.53,21.93,79.27,35,14.7,0
450,Weligama,5.97,80.42,84.4,85,15.03,32
451,Cururupu,-1.82,-44.87,76.75,92,3.74,92
452,Marigot,18.23,-72.32,77.0,78,9.17,40
453,Banda Aceh,5.56,95.32,81.88,95,2.95,24
454,Northam,51.04,-4.21,40.3,100,23.04,75
455,Vazante,-17.99,-46.9,65.1,91,2.39,12
456,Hella,63.84,-20.4,43.41,100,31.92,92
457,Fairbanks,64.84,-147.72,-12.52,70,2.39,75
458,Nizhniy Kuranakh,58.84,125.49,11.01,73,3.74,64
459,Luwuk,-0.95,122.79,88.81,71,4.07,48
460,Coolum Beach,-26.53,153.09,78.64,90,4.63,80
461,Zhuji,29.72,120.23,46.4,87,3.4,75
462,Norfolk,36.85,-76.29,58.41,100,9.17,90
463,Rio Bravo,14.4,-91.32,63.52,84,2.28,32
464,Mareeba,-16.99,145.42,82.4,94,10.29,75
465,Bella Vista,-28.51,-59.05,73.96,94,14.7,100
466,Nishihara,35.74,139.53,47.84,31,13.87,20
467,Kampot,10.62,104.18,87.8,58,12.75,20
468,Christchurch,-43.53,172.64,60.8,87,10.29,0
469,Shablykino,52.85,35.2,23.74,89,9.33,76
470,Sakaraha,-22.91,44.53,78.55,86,8.21,0
471,Bilibino,68.06,166.44,-40.79,0,2.51,12
472,Garowe,8.41,48.48,73.78,61,8.77,0
473,Dingle,11.0,122.67,83.55,76,15.82,24
474,Fairmont,40.64,-97.59,27.23,88,2.84,1
475,Shagonar,51.54,92.92,-5.33,87,2.39,64
476,Aquiraz,-3.9,-38.39,78.8,83,16.11,75
